iter	Passed	Remaining
215	1691	6140
216	1697	6123
217	1703	6109
218	1708	6093
219	1714	6077
220	1719	6059
221	1732	6070
222	1747	6088
223	1759	6097
224	1772	6104
225	1779	6095
226	1792	6105
227	1805	6111
228	1811	6099
229	1824	6108
230	1829	6091
231	1835	6076
232	1840	6058
233	1850	6056
234	1858	6051
235	1867	6047
236	1885	6071
237	1894	6066
238	1899	6048
239	1912	6056
240	1921	6050
241	1934	6058
242	1942	6052
243	1947	6034
244	1959	6038
245	1963	6016
246	1970	6007
247	1976	5992
248	1980	5973
249	1985	5955
250	1989	5937
251	1997	5928
252	2010	5935
253	2015	5920
254	2020	5903
255	2024	5883
256	2028	5864
257	2040	5867
258	2044	5849
259	2057	5856
260	2067	5853
261	2071	5835
262	2076	5819
263	2086	5816
264	2091	5800
265	2097	5787
266	2105	5779
267	2114	5774
268	2125	5775
269	2131	5762
270	2139	5756
271	2143	5738
272	2149	5723
273	2153	5705
274	2157	5686
275	2161	5670
276	2166	5653
277	2172	5641
278	2178	5629
279	2184	5616
280	2193	5611
281	2197	5593
282	2201	5576
283	2213	5580
284	2227	5589
285	2234	5579
286	2240	5565
287	2245	5551
288	2253	5544
289	2262	5539
290	2268	5525
291	2273	5512
292	2280	5503
293	2286	5491
294	2301	5500
295	2323	5526
296	2340	5539
297	2350	5537
298	2362	5538
299	2369	5529
300	2379	5525
301	2384	5510
302	2392	5504
303	2399	5493
304	2404	5479
305	2411	5468
306	2419	5462
307	2427	5453
308	2435	5447
309	2445	5443
310	2450	5428
311	2461	5427
312	2467	5414
313	2482	5422
314	2485	5405
315	2489	5388
316	2496	5378
317	2500	5362
318	2506	5349
319	2513	5342
320	2517	5325
321	2527	5322
322	2537	5318
323	2547	5315
324	2552	5300
325	2565	5304
326	2570	5289
327	2578	5282
328	2594	5291
329	2600	5278
330	2610	5276
331	2621	5274
332	2634	5277
333	2638	5261
334	2653	5267
335	2662	5261
336	2670	5253
337	2677	5244
338	2687	5239
339	2692	5226
340	2698	5214
341	2704	5202
342	2709	5190
343	2715	5177
344	2719	5163
345	2723	5148
346	2729	5136
347	2742	5138
348	2752	5134
349	2758	5122
350	2763	5109
351	2772	5103
352	2779	5094
353	2791	5094
354	2805	5096
355	2813	5089
356	2820	5079
357	2826	5068
358	2837	5066
359	2843	5055
360	2849	5044
361	2853	5029
362	2861	5021
363	2866	5008
364	2874	5000
365	2878	4986
366	2885	4976
367	2891	4965
368	2895	4951
369	2900	4939
370	2909	4933
371	2918	4926
372	2922	4912
373	2929	4902
374	2935	4892
375	2945	4887
376	2954	4882
377	2965	4879
378	2970	4867
379	2981	4864
380	2985	4851
381	2996	4847
382	3001	4835
383	3010	4828
384	3015	4816
385	3021	4806
386	3040	4816
387	3045	4803
388	3052	4794
389	3056	4780
390	3069	4780
391	3080	4777
392	3084	4764
393	3092	4756
394	3105	4756
395	3115	4751
396	3120	4739
397	3124	4726
398	3128	4712
399	3137	4706
400	3143	4695
401	3147	4681
402	3153	4671
403	3159	4660
404	3167	4654
405	3173	4643
406	3183	4638
407	3188	4626
408	3196	4619
409	3206	4614
410	3223	4618
411	3234	4616
412	3248	4616
413	3263	4619
414	3278	4621
415	3286	4613
416	3291	4601
417	3298	4592
418	3306	4585
419	3317	4581
420	3323	4571
421	3335	4567
422	3344	4561
423	3351	4553
424	3357	4542
425	3363	4531
426	3368	4520
427	3378	4514
428	3390	4513
429	3400	4507
430	3409	4501
431	3414	4489
432	3422	4481
433	3427	4469
434	3432	4458
435	3436	4446
436	3442	4434
437	3450	4427
438	3457	4418
439	3466	4411
440	3475	4405
441	3480	4394
442	3489	4387
443	3500	4384
444	3506	4373
445	3512	4362
446	3518	4352
447	3529	4348
448	3534	4337
449	3538	4324
450	3544	4314
451	3549	4303
452	3555	4292
453	3561	4282
454	3565	4270
455	3571	4261
456	3583	4257
457	3588	4246
458	3597	4240
459	3602	4228
460	3606	4216
461	3614	4208
462	3618	4197
463	3630	4193
464	3641	4189
465	3649	4182
466	3654	4171
467	3662	4163
468	3669	4154
469	3678	4148
470	3693	4148
471	3708	4148
472	3712	4136
473	3717	4125
474	3726	4118
475	3736	4113
476	3747	4109
477	3751	4096
478	3755	4084
479	3758	4071
480	3766	4064
481	3770	4052
482	3776	4042
483	3782	4032
484	3788	4022
485	3796	4015
486	3802	4005
487	3816	4004
488	3821	3993
489	3829	3985
490	3838	3979
491	3842	3967
492	3846	3955
493	3851	3945
494	3856	3934
495	3860	3922
496	3865	3911
497	3870	3901
498	3877	3893
499	3885	3885
500	3895	3879
501	3900	3869
502	3906	3860
503	3913	3851
504	3920	3842
505	3924	3831
506	3928	3820
507	3937	3813
508	3942	3803
509	3950	3795
510	3957	3786
511	3968	3782
512	3977	3775
513	3984	3767
514	3993	3760
515	4001	3753
516	4006	3743
517	4012	3733
518	4017	3723
519	4022	3713
520	4029	3704
521	4042	3701
522	4050	3693
523	4055	3684
524	4060	3673
525	4069	3667
526	4074	3656
527	4079	3647
528	4084	3636
529	4093	3630
530	4112	3632
531	4121	3625
532	4126	3615
533	4136	3609
534	4141	3599
535	4146	3589
536	4150	3578
537	4156	3569
538	4161	3559
539	4166	3549
540	4176	3543
541	4183	3535
542	4192	3528
543	4206	3526
544	4211	3515
545	4226	3514
546	4230	3503
547	4234	3492
548	4239	3482
549	4244	3472
550	4250	3463
551	4261	3458
552	4265	3448
553	4273	3440
554	4286	3437
555	4297	3431
556	4309	3427
557	4316	3419
558	4322	3410
559	4331	3403
560	4342	3398
561	4352	3392
562	4360	3384
563	4365	3374
564	4377	3369
565	4393	3368
566	4398	3358
567	4402	3348
568	4407	3338
569	4425	3338
570	4433	3330
571	4437	3320
572	4443	3310
573	4452	3304
574	4464	3300
575	4469	3290
576	4486	3289
577	4496	3282
578	4499	3271
579	4503	3261
580	4508	3251
581	4513	3242
582	4518	3231
583	4522	3221
584	4535	3217
585	4557	3219
586	4568	3214
587	4572	3204
588	4580	3196
589	4585	3186
590	4590	3176
591	4595	3166
592	4599	3156
593	4605	3148
594	4610	3138
595	4617	3129
596	4627	3123
597	4637	3117
598	4642	3107
599	4652	3101
600	4660	3094
601	4676	3091
602	4685	3084
603	4693	3077
604	4701	3069
605	4711	3063
606	4728	3061
607	4737	3054
608	4743	3045
609	4755	3040
610	4771	3037
611	4776	3028
612	4794	3026
613	4835	3039
614	4847	3034
615	4859	3029
616	4868	3022
617	4874	3013
618	4884	3006
619	4889	2996
620	4894	2987
621	4901	2978
622	4910	2971
623	4915	2962
624	4920	2952
625	4923	2941
626	4927	2931
627	4938	2925
628	4946	2917
629	4950	2907
630	4955	2897
631	4961	2889
632	4965	2879
633	4973	2871
634	4986	2866
635	4996	2859
636	5001	2850
637	5010	2842
638	5015	2833
639	5023	2825
640	5041	2823
641	5056	2819
642	5061	2810
643	5071	2803
644	5076	2793
645	5084	2786
646	5090	2777
647	5101	2770
648	5109	2763
649	5113	2753
650	5118	2744
651	5131	2738
652	5141	2732
653	5151	2725
654	5158	2717
655	5164	2708
656	5177	2702
657	5189	2697
658	5199	2690
659	5212	2685
660	5220	2677
661	5226	2668
662	5237	2662
663	5246	2654
664	5252	2646
665	5260	2637
666	5267	2629
667	5276	2622
668	5281	2613
669	5296	2608
670	5300	2599
671	5311	2592
672	5314	2582
673	5327	2576
674	5332	2567
675	5337	2558
676	5342	2548
677	5348	2539
678	5362	2534
679	5369	2526
680	5374	2517
681	5380	2508
682	5389	2501
683	5393	2491
684	5397	2482
685	5404	2473
686	5408	2464
687	5412	2454
688	5424	2448
689	5431	2440
690	5443	2434
691	5447	2424
692	5451	2414
693	5461	2408
694	5476	2403
695	5480	2393
696	5485	2384
697	5490	2375
698	5496	2366
699	5500	2357
700	5510	2350
701	5517	2342
702	5524	2333
703	5530	2325
704	5536	2316
705	5540	2307
706	5555	2302
707	5563	2294
708	5567	2285
709	5572	2276
710	5578	2267
711	5584	2259
712	5592	2251
713	5598	2242
714	5606	2234
715	5621	2229
716	5628	2221
717	5639	2215
718	5651	2208
719	5659	2200
720	5668	2193
721	5674	2185
722	5681	2176
723	5691	2169
724	5696	2160
725	5701	2151
726	5709	2143
727	5715	2135
728	5721	2127
729	5727	2118
730	5731	2109
731	5735	2099
732	5744	2092
733	5749	2083
734	5757	2075
735	5764	2067
736	5768	2058
737	5773	2049
738	5779	2041
739	5783	2032
740	5790	2023
741	5797	2015
742	5801	2006
743	5805	1997
744	5810	1988
745	5816	1980
746	5826	1973
747	5831	1964
748	5837	1956
749	5844	1948
750	5848	1939
751	5854	1930
752	5865	1924
753	5873	1916
754	5888	1910
755	5899	1904
756	5904	1895
757	5921	1890
758	5931	1883
759	5937	1874
760	5948	1868
761	5956	1860
762	5964	1852
763	5972	1845
764	5980	1837
765	5988	1829
766	5993	1820
767	5999	1812
768	6008	1804
769	6016	1797
770	6022	1788
771	6030	1780
772	6036	1772
773	6041	1764
774	6047	1755
775	6059	1749
776	6065	1740
777	6071	1732
778	6077	1724
779	6090	1717
780	6096	1709
781	6107	1702
782	6112	1694
783	6122	1686
784	6131	1679
785	6136	1670
786	6147	1663
787	6152	1655
788	6161	1647
789	6167	1639
790	6181	1633
791	6189	1625
792	6197	1617
793	6205	1610
794	6211	1601
795	6218	1593
796	6222	1584
797	6228	1576
798	6236	1568
799	6245	1561
800	6251	1553
801	6259	1545
802	6264	1536
803	6271	1528
804	6280	1521
805	6285	1512
806	6289	1504
807	6295	1496
808	6302	1487
809	6310	1480
810	6323	1473
811	6331	1465
812	6335	1457
813	6342	1449
814	6346	1440
815	6350	1432
816	6355	1423
817	6370	1417
818	6376	1409
819	6380	1400
820	6386	1392
821	6397	1385
822	6412	1379
823	6416	1370
824	6420	1361
825	6426	1353
826	6431	1345
827	6436	1337
828	6444	1329
829	6452	1321
830	6459	1313
831	6467	1305
832	6472	1297
833	6477	1289
834	6482	1280
835	6488	1272
836	6494	1264
837	6499	1256
838	6504	1248
839	6511	1240
840	6522	1233
841	6531	1225
842	6538	1217
843	6544	1209
844	6550	1201
845	6564	1194
846	6574	1187
847	6580	1179
848	6588	1171
849	6597	1164
850	6609	1157
851	6619	1149
852	6624	1141
853	6630	1133
854	6640	1126
855	6649	1118
856	6654	1110
857	6666	1103
858	6672	1095
859	6689	1088
860	6697	1081
861	6701	1072
862	6708	1064
863	6716	1057
864	6727	1049
865	6731	1041
866	6736	1033
867	6744	1025
868	6748	1017
869	6760	1010
870	6771	1002
871	6786	996
872	6794	988
873	6807	981
874	6813	973
875	6818	965
876	6825	957
877	6834	949
878	6845	942
879	6857	935
880	6861	926
881	6867	918
882	6881	911
883	6887	903
884	6894	895
885	6899	887
886	6904	879
887	6916	872
888	6921	864
889	6933	856
890	6951	850
891	6968	843
892	6976	835
893	6984	828
894	6994	820
895	7007	813
896	7020	806
897	7028	798
898	7036	790
899	7039	782
900	7056	775
901	7060	767
902	7065	758
903	7073	751
904	7079	743
905	7086	735
906	7090	727
907	7100	719
908	7105	711
909	7111	703
910	7120	695
911	7125	687
912	7131	679
913	7142	672
914	7147	663
915	7155	656
916	7166	648
917	7175	640
918	7183	633
919	7187	625
920	7196	617
921	7201	609
922	7218	602
923	7223	594
924	7233	586
925	7247	579
926	7252	571
927	7262	563
928	7268	555
929	7275	547
930	7285	539
931	7294	532
932	7311	525
933	7321	517
934	7327	509
935	7333	501
936	7337	493
937	7342	485
938	7355	477
939	7360	469
940	7378	462
941	7390	455
942	7395	447
943	7402	439
944	7415	431
945	7426	423
946	7431	415
947	7438	408
948	7452	400
949	7459	392
950	7471	384
951	7482	377
952	7488	369
953	7498	361
954	7514	354
955	7519	346
956	7522	338
957	7532	330
958	7536	322
959	7547	314
960	7553	306
961	7560	298
962	7565	290
963	7575	282
964	7589	275
965	7595	267
966	7608	259
967	7626	252
968	7636	244
969	7641	236
970	7653	228
971	7657	220
972	7667	212
973	7685	205
974	7698	197
975	7704	189
976	7715	181
977	7721	173
978	7731	165
979	7736	157
980	7747	150
981	7757	142
982	7769	134
983	7778	126
984	7784	118
985	7789	110
986	7796	102
987	7807	94
988	7812	86
989	7818	78
990	7822	71
991	7830	63
992	7837	55
993	7846	47
994	7853	39
995	7859	31
996	7869	23
997	7881	15
998	7885	7
999	7891	0
