iter	RMSE
0	32.48147612
1	32.29446181
2	32.15105585
3	32.01875531
4	31.9114862
5	31.81330539
6	31.71460166
7	31.64976036
8	31.56827278
9	31.49486512
10	31.43878748
11	31.3834368
12	31.32557976
13	31.27640432
14	31.24261032
15	31.20655141
16	31.1680019
17	31.13813996
18	31.0650889
19	31.02588077
20	30.96414981
21	30.93962132
22	30.8881183
23	30.84263875
24	30.80529861
25	30.78238869
26	30.76575895
27	30.74754533
28	30.73138057
29	30.71608771
30	30.69074582
31	30.67357636
32	30.65739821
33	30.63965986
34	30.60479778
35	30.54805996
36	30.53589238
37	30.51762502
38	30.49871769
39	30.48609791
40	30.47485561
41	30.46144856
42	30.44101679
43	30.42823953
44	30.42046285
45	30.40618634
46	30.3957872
47	30.38751601
48	30.35813697
49	30.34657544
50	30.33681832
51	30.31588907
52	30.30740476
53	30.29490097
54	30.26712428
55	30.25639289
56	30.24439676
57	30.23142992
58	30.21846741
59	30.21169105
60	30.20636718
61	30.19952727
62	30.19601776
63	30.18972702
64	30.1817927
65	30.17516472
66	30.16718891
67	30.15129425
68	30.14588261
69	30.14043427
70	30.12931407
71	30.12598671
72	30.11927524
73	30.11490714
74	30.10765609
75	30.10132665
76	30.09510742
77	30.08952598
78	30.05746342
79	30.05274499
80	30.04749014
81	30.04333136
82	30.04048506
83	30.02139717
84	30.01569344
85	30.00669182
86	30.00067802
87	29.99436402
88	29.99034759
89	29.98447561
90	29.98093239
91	29.97731474
92	29.9746067
93	29.97030246
94	29.95984986
95	29.94092618
96	29.93819758
97	29.93572061
98	29.90555793
99	29.89389516
100	29.88956406
101	29.88588591
102	29.88022596
103	29.87914996
104	29.86488395
105	29.86111964
106	29.84079988
107	29.8349699
108	29.83205472
109	29.82827021
110	29.823878
111	29.8156002
112	29.81182451
113	29.80938428
114	29.80601721
115	29.80317988
116	29.79997459
117	29.79774854
118	29.79507347
119	29.79005672
120	29.78396856
121	29.78124467
122	29.77811087
123	29.77409869
124	29.76984669
125	29.76745766
126	29.75783187
127	29.7454719
128	29.7347607
129	29.73043068
130	29.72790681
131	29.72570958
132	29.72255609
133	29.7203142
134	29.71689291
135	29.71135026
136	29.70229776
137	29.69336058
138	29.68774835
139	29.68510204
140	29.68223742
141	29.68007991
142	29.67515328
143	29.67313899
144	29.67074162
145	29.66798065
146	29.66417726
147	29.66284013
148	29.66012872
149	29.65462761
150	29.65161757
151	29.64806144
152	29.64418597
153	29.63918079
154	29.63487145
155	29.63274252
156	29.63005081
157	29.62585906
158	29.62367318
159	29.61967682
160	29.61749324
161	29.61285782
162	29.60215925
163	29.59750574
164	29.59568697
165	29.59193539
166	29.58562944
167	29.58243429
168	29.57969486
169	29.57638239
170	29.57285155
171	29.5604978
172	29.55026168
173	29.54676032
174	29.54265722
175	29.54081923
176	29.53786779
177	29.53560778
178	29.53406588
179	29.53060131
180	29.52735431
181	29.52540872
182	29.52384172
183	29.52087665
184	29.51792263
185	29.51517287
186	29.51372415
187	29.51077085
188	29.50892389
189	29.49705091
190	29.49467027
191	29.4932555
192	29.49122141
193	29.48871689
194	29.48040995
195	29.47816736
196	29.47383572
197	29.47012009
198	29.46833289
199	29.46579831
200	29.4625712
201	29.45719281
202	29.45480028
203	29.45239036
204	29.44510757
205	29.44259487
206	29.44049611
207	29.43752605
208	29.43470654
209	29.43128125
210	29.42940055
211	29.42786698
212	29.4261365
213	29.42220831
214	29.42066574
215	29.41824679
216	29.41541563
217	29.4140526
218	29.41246997
219	29.4110412
220	29.40787513
221	29.40620203
222	29.40392318
223	29.40235236
224	29.39954405
225	29.39791536
226	29.39393529
227	29.39141332
228	29.38920832
229	29.38549667
230	29.38463469
231	29.38253015
232	29.38020337
233	29.3787118
234	29.37447806
235	29.37217963
236	29.36523175
237	29.36327336
238	29.36206389
239	29.36088105
240	29.35908054
241	29.35749344
242	29.35531543
243	29.34863349
244	29.34363929
245	29.34159785
246	29.34006505
247	29.33788594
248	29.33688397
249	29.33486722
250	29.33349828
251	29.33163419
252	29.32997328
253	29.32404066
254	29.32268743
255	29.32126182
256	29.32005558
257	29.31850678
258	29.31462527
259	29.31352327
260	29.31228387
261	29.30722611
262	29.30551321
263	29.29657873
264	29.29475205
265	29.29277902
266	29.29166564
267	29.28966476
268	29.28852288
269	29.2842496
270	29.2807711
271	29.27924792
272	29.27765344
273	29.27666476
274	29.27284753
275	29.27087195
276	29.263341
277	29.2609594
278	29.25891771
279	29.25627419
280	29.25460777
281	29.25099138
282	29.24846504
283	29.24745614
284	29.24584267
285	29.24483354
286	29.24167237
287	29.2399354
288	29.23889627
289	29.23777838
290	29.2368282
291	29.23041628
292	29.22885506
293	29.22756777
294	29.22664183
295	29.22521517
296	29.22424093
297	29.22148706
298	29.22031853
299	29.21756302
300	29.2154572
301	29.21128197
302	29.20718514
303	29.20538983
304	29.20421342
305	29.20255323
306	29.19719584
307	29.19187241
308	29.19109606
309	29.18831561
310	29.18401204
311	29.18117608
312	29.17919102
313	29.17676195
314	29.16968366
315	29.168296
316	29.16721519
317	29.16368713
318	29.1587449
319	29.15801647
320	29.15706054
321	29.15579569
322	29.15310702
323	29.14452556
324	29.14349366
325	29.13925977
326	29.13836859
327	29.13647566
328	29.13513422
329	29.13391062
330	29.13278507
331	29.13212054
332	29.1314117
333	29.13019799
334	29.12840928
335	29.12537519
336	29.12383584
337	29.12152075
338	29.11789947
339	29.11409064
340	29.11293558
341	29.11182201
342	29.11045127
343	29.10854296
344	29.10389547
345	29.10267481
346	29.09906931
347	29.09822955
348	29.09647103
349	29.09542997
350	29.09433981
351	29.09315051
352	29.09221243
353	29.08904192
354	29.08780483
355	29.08630295
356	29.08501196
357	29.0836387
358	29.08196634
359	29.0784009
360	29.07681709
361	29.0756843
362	29.07454683
363	29.07353978
364	29.06820681
365	29.06766582
366	29.06695556
367	29.06635628
368	29.06563434
369	29.06432979
370	29.0630229
371	29.06164346
372	29.06013986
373	29.05650829
374	29.05561342
375	29.0537646
376	29.0523915
377	29.05153083
378	29.04914258
379	29.04659323
380	29.04599609
381	29.04118019
382	29.04036991
383	29.03844922
384	29.03702504
385	29.03578687
386	29.03506073
387	29.03353262
388	29.02543437
389	29.0243406
390	29.02220604
391	29.01995516
392	29.01785082
393	29.01693068
394	29.0156261
395	29.0121886
396	29.00327519
397	29.00203698
398	29.00033555
399	28.99919134
400	28.99821024
401	28.99707989
402	28.99627523
403	28.99469457
404	28.99322502
405	28.99222684
406	28.98843327
407	28.98767105
408	28.98696707
409	28.9862422
410	28.98164833
411	28.9803295
412	28.97920333
413	28.97862771
414	28.97681491
415	28.97565542
416	28.97478755
417	28.97009063
418	28.96925459
419	28.96763597
420	28.96578986
421	28.96432332
422	28.96319155
423	28.96206685
424	28.96032085
425	28.95979126
426	28.95666366
427	28.95547315
428	28.95431527
429	28.95030763
430	28.94877686
431	28.94757049
432	28.94684416
433	28.94550338
434	28.94467995
435	28.94364088
436	28.94288867
437	28.94125711
438	28.93441324
439	28.93359343
440	28.93126178
441	28.92981848
442	28.92780896
443	28.92726877
444	28.92649661
445	28.92468497
446	28.92389123
447	28.91805959
448	28.91691397
449	28.91554146
450	28.91486833
451	28.91424943
452	28.91341464
453	28.91132405
454	28.90571027
455	28.90500244
456	28.903727
457	28.90292168
458	28.90214383
459	28.90138601
460	28.900652
461	28.8997653
462	28.89875649
463	28.89789069
464	28.8966474
465	28.89560948
466	28.89218927
467	28.88751282
468	28.88688555
469	28.88571144
470	28.88498219
471	28.88438085
472	28.87972792
473	28.87904388
474	28.87755416
475	28.87691999
476	28.8754493
477	28.87299957
478	28.87193307
479	28.87144282
480	28.87062853
481	28.86915352
482	28.86858092
483	28.86687606
484	28.86585283
485	28.86425421
486	28.86323262
487	28.8621405
488	28.85914583
489	28.85509595
490	28.85440837
491	28.85364587
492	28.85237531
493	28.85090074
494	28.85040929
495	28.84891376
496	28.84805368
497	28.84599436
498	28.84532266
499	28.84385932
500	28.84268506
501	28.84156546
502	28.84064709
503	28.83971776
504	28.83885694
505	28.83780992
506	28.83717779
507	28.8351956
508	28.83445971
509	28.83257341
510	28.83194241
511	28.83089392
